Start datum,Eind datum,PricePerKwH
04-12-2023 23:00,05-12-2023 00:00,0.09176000000
05-12-2023 00:00,05-12-2023 01:00,0.09085000000
05-12-2023 01:00,05-12-2023 02:00,0.08801000000
05-12-2023 02:00,05-12-2023 03:00,0.08573000000
05-12-2023 03:00,05-12-2023 04:00,0.08362000000
05-12-2023 04:00,05-12-2023 05:00,0.08471000000
05-12-2023 05:00,05-12-2023 06:00,0.09102000000
05-12-2023 06:00,05-12-2023 07:00,0.10795000000
05-12-2023 07:00,05-12-2023 08:00,0.11436000000
05-12-2023 08:00,05-12-2023 09:00,0.12279000000
05-12-2023 09:00,05-12-2023 10:00,0.12329000000
05-12-2023 10:00,05-12-2023 11:00,0.12069000000
05-12-2023 11:00,05-12-2023 12:00,0.12079000000
05-12-2023 12:00,05-12-2023 13:00,0.11796000000
05-12-2023 13:00,05-12-2023 14:00,0.11812000000
05-12-2023 14:00,05-12-2023 15:00,0.12507000000
05-12-2023 15:00,05-12-2023 16:00,0.12259000000
05-12-2023 16:00,05-12-2023 17:00,0.12924000000
05-12-2023 17:00,05-12-2023 18:00,0.14605000000
05-12-2023 18:00,05-12-2023 19:00,0.14747000000
05-12-2023 19:00,05-12-2023 20:00,0.14156000000
05-12-2023 20:00,05-12-2023 21:00,0.12863000000
05-12-2023 21:00,05-12-2023 22:00,0.11783000000
05-12-2023 22:00,05-12-2023 23:00,0.11155000000
05-12-2023 23:00,06-12-2023 00:00,0.10328000000
06-12-2023 00:00,06-12-2023 01:00,0.09497000000
06-12-2023 01:00,06-12-2023 02:00,0.09310000000
06-12-2023 02:00,06-12-2023 03:00,0.09257000000
06-12-2023 03:00,06-12-2023 04:00,0.09096000000
06-12-2023 04:00,06-12-2023 05:00,0.09059000000
06-12-2023 05:00,06-12-2023 06:00,0.09389000000
06-12-2023 06:00,06-12-2023 07:00,0.10652000000
06-12-2023 07:00,06-12-2023 08:00,0.13276000000
06-12-2023 08:00,06-12-2023 09:00,0.16700000000
06-12-2023 09:00,06-12-2023 10:00,0.16654000000
06-12-2023 10:00,06-12-2023 11:00,0.15000000000
06-12-2023 11:00,06-12-2023 12:00,0.14629000000
06-12-2023 12:00,06-12-2023 13:00,0.11900000000
06-12-2023 13:00,06-12-2023 14:00,0.10973000000
06-12-2023 14:00,06-12-2023 15:00,0.12989000000
06-12-2023 15:00,06-12-2023 16:00,0.14399000000
06-12-2023 16:00,06-12-2023 17:00,0.16400000000
06-12-2023 17:00,06-12-2023 18:00,0.17807000000
06-12-2023 18:00,06-12-2023 19:00,0.16528000000
06-12-2023 19:00,06-12-2023 20:00,0.14993000000
06-12-2023 20:00,06-12-2023 21:00,0.12991000000
06-12-2023 21:00,06-12-2023 22:00,0.11568000000
06-12-2023 22:00,06-12-2023 23:00,0.10733000000
06-12-2023 23:00,07-12-2023 00:00,0.10044000000
07-12-2023 00:00,07-12-2023 01:00,0.09920000000
07-12-2023 01:00,07-12-2023 02:00,0.09785000000
07-12-2023 02:00,07-12-2023 03:00,0.09686000000
07-12-2023 03:00,07-12-2023 04:00,0.09181000000
07-12-2023 04:00,07-12-2023 05:00,0.08992000000
07-12-2023 05:00,07-12-2023 06:00,0.09453000000
07-12-2023 06:00,07-12-2023 07:00,0.09705000000
07-12-2023 07:00,07-12-2023 08:00,0.12799000000
07-12-2023 08:00,07-12-2023 09:00,0.15000000000
07-12-2023 09:00,07-12-2023 10:00,0.13770000000
07-12-2023 10:00,07-12-2023 11:00,0.10820000000
07-12-2023 11:00,07-12-2023 12:00,0.09430000000
07-12-2023 12:00,07-12-2023 13:00,0.07900000000
07-12-2023 13:00,07-12-2023 14:00,0.08030000000
07-12-2023 14:00,07-12-2023 15:00,0.08600000000
07-12-2023 15:00,07-12-2023 16:00,0.10670000000
07-12-2023 16:00,07-12-2023 17:00,0.12613000000
07-12-2023 17:00,07-12-2023 18:00,0.12521000000
07-12-2023 18:00,07-12-2023 19:00,0.12028000000
07-12-2023 19:00,07-12-2023 20:00,0.10319000000
07-12-2023 20:00,07-12-2023 21:00,0.09988000000
07-12-2023 21:00,07-12-2023 22:00,0.09610000000
07-12-2023 22:00,07-12-2023 23:00,0.09647000000
07-12-2023 23:00,08-12-2023 00:00,0.08708000000
08-12-2023 00:00,08-12-2023 01:00,0.08709000000
08-12-2023 01:00,08-12-2023 02:00,0.08326000000
08-12-2023 02:00,08-12-2023 03:00,0.08143000000
08-12-2023 03:00,08-12-2023 04:00,0.07952000000
08-12-2023 04:00,08-12-2023 05:00,0.08000000000
08-12-2023 05:00,08-12-2023 06:00,0.08704000000
08-12-2023 06:00,08-12-2023 07:00,0.09994000000
08-12-2023 07:00,08-12-2023 08:00,0.10754000000
08-12-2023 08:00,08-12-2023 09:00,0.11280000000
08-12-2023 09:00,08-12-2023 10:00,0.11858000000
08-12-2023 10:00,08-12-2023 11:00,0.11878000000
08-12-2023 11:00,08-12-2023 12:00,0.11807000000
08-12-2023 12:00,08-12-2023 13:00,0.11674000000
08-12-2023 13:00,08-12-2023 14:00,0.11189000000
08-12-2023 14:00,08-12-2023 15:00,0.11309000000
08-12-2023 15:00,08-12-2023 16:00,0.11575000000
08-12-2023 16:00,08-12-2023 17:00,0.11335000000
08-12-2023 17:00,08-12-2023 18:00,0.11763000000
08-12-2023 18:00,08-12-2023 19:00,0.11860000000
08-12-2023 19:00,08-12-2023 20:00,0.10556000000
08-12-2023 20:00,08-12-2023 21:00,0.10467000000
08-12-2023 21:00,08-12-2023 22:00,0.10112000000
08-12-2023 22:00,08-12-2023 23:00,0.10139000000
08-12-2023 23:00,09-12-2023 00:00,0.09058000000
09-12-2023 00:00,09-12-2023 01:00,0.09500000000
09-12-2023 01:00,09-12-2023 02:00,0.08510000000
09-12-2023 02:00,09-12-2023 03:00,0.07949000000
09-12-2023 03:00,09-12-2023 04:00,0.07307000000
09-12-2023 04:00,09-12-2023 05:00,0.06957000000
09-12-2023 05:00,09-12-2023 06:00,0.07238000000
09-12-2023 06:00,09-12-2023 07:00,0.07604000000
09-12-2023 07:00,09-12-2023 08:00,0.08249000000
09-12-2023 08:00,09-12-2023 09:00,0.08514000000
09-12-2023 09:00,09-12-2023 10:00,0.09176000000
09-12-2023 10:00,09-12-2023 11:00,0.09058000000
09-12-2023 11:00,09-12-2023 12:00,0.09075000000
09-12-2023 12:00,09-12-2023 13:00,0.09117000000
09-12-2023 13:00,09-12-2023 14:00,0.08869000000
09-12-2023 14:00,09-12-2023 15:00,0.08560000000
09-12-2023 15:00,09-12-2023 16:00,0.08350000000
09-12-2023 16:00,09-12-2023 17:00,0.07870000000
09-12-2023 17:00,09-12-2023 18:00,0.08344000000
09-12-2023 18:00,09-12-2023 19:00,0.08000000000
09-12-2023 19:00,09-12-2023 20:00,0.07869000000
09-12-2023 20:00,09-12-2023 21:00,0.06562000000
09-12-2023 21:00,09-12-2023 22:00,0.06140000000
09-12-2023 22:00,09-12-2023 23:00,0.05720000000
09-12-2023 23:00,10-12-2023 00:00,0.04618000000
10-12-2023 00:00,10-12-2023 01:00,0.03378000000
10-12-2023 01:00,10-12-2023 02:00,0.02134000000
10-12-2023 02:00,10-12-2023 03:00,0.01249000000
10-12-2023 03:00,10-12-2023 04:00,0.00637000000
10-12-2023 04:00,10-12-2023 05:00,0.00936000000
10-12-2023 05:00,10-12-2023 06:00,0.01754000000
10-12-2023 06:00,10-12-2023 07:00,0.02384000000
10-12-2023 07:00,10-12-2023 08:00,0.04185000000
10-12-2023 08:00,10-12-2023 09:00,0.05967000000
10-12-2023 09:00,10-12-2023 10:00,0.06624000000
10-12-2023 10:00,10-12-2023 11:00,0.06801000000
10-12-2023 11:00,10-12-2023 12:00,0.06796000000
10-12-2023 12:00,10-12-2023 13:00,0.06638000000
10-12-2023 13:00,10-12-2023 14:00,0.06473000000
10-12-2023 14:00,10-12-2023 15:00,0.06898000000
10-12-2023 15:00,10-12-2023 16:00,0.07584000000
10-12-2023 16:00,10-12-2023 17:00,0.08030000000
10-12-2023 17:00,10-12-2023 18:00,0.08030000000
10-12-2023 18:00,10-12-2023 19:00,0.08542000000
10-12-2023 19:00,10-12-2023 20:00,0.08076000000
10-12-2023 20:00,10-12-2023 21:00,0.07805000000
10-12-2023 21:00,10-12-2023 22:00,0.07706000000
10-12-2023 22:00,10-12-2023 23:00,0.07747000000
10-12-2023 23:00,11-12-2023 00:00,0.06715000000
11-12-2023 00:00,11-12-2023 01:00,0.03455000000
11-12-2023 01:00,11-12-2023 02:00,0.01574000000
11-12-2023 02:00,11-12-2023 03:00,0.01300000000
11-12-2023 03:00,11-12-2023 04:00,0.00890000000
11-12-2023 04:00,11-12-2023 05:00,0.01199000000
11-12-2023 05:00,11-12-2023 06:00,0.03579000000
11-12-2023 06:00,11-12-2023 07:00,0.07429000000
11-12-2023 07:00,11-12-2023 08:00,0.09274000000
11-12-2023 08:00,11-12-2023 09:00,0.09865000000
11-12-2023 09:00,11-12-2023 10:00,0.09837000000
11-12-2023 10:00,11-12-2023 11:00,0.09329000000
11-12-2023 11:00,11-12-2023 12:00,0.09098000000
11-12-2023 12:00,11-12-2023 13:00,0.08597000000
11-12-2023 13:00,11-12-2023 14:00,0.08448000000
11-12-2023 14:00,11-12-2023 15:00,0.09200000000
11-12-2023 15:00,11-12-2023 16:00,0.09679000000
11-12-2023 16:00,11-12-2023 17:00,0.10612000000
11-12-2023 17:00,11-12-2023 18:00,0.11845000000
11-12-2023 18:00,11-12-2023 19:00,0.12290000000
11-12-2023 19:00,11-12-2023 20:00,0.12155000000
11-12-2023 20:00,11-12-2023 21:00,0.11411000000
11-12-2023 21:00,11-12-2023 22:00,0.09942000000
11-12-2023 22:00,11-12-2023 23:00,0.09653000000
11-12-2023 23:00,12-12-2023 00:00,0.09037000000
12-12-2023 00:00,12-12-2023 01:00,0.08807000000
12-12-2023 01:00,12-12-2023 02:00,0.08706000000
12-12-2023 02:00,12-12-2023 03:00,0.08562000000
12-12-2023 03:00,12-12-2023 04:00,0.08442000000
12-12-2023 04:00,12-12-2023 05:00,0.08555000000
12-12-2023 05:00,12-12-2023 06:00,0.08731000000
12-12-2023 06:00,12-12-2023 07:00,0.09890000000
12-12-2023 07:00,12-12-2023 08:00,0.11840000000
12-12-2023 08:00,12-12-2023 09:00,0.14079000000
12-12-2023 09:00,12-12-2023 10:00,0.12877000000
12-12-2023 10:00,12-12-2023 11:00,0.12457000000
12-12-2023 11:00,12-12-2023 12:00,0.11881000000
12-12-2023 12:00,12-12-2023 13:00,0.11682000000
12-12-2023 13:00,12-12-2023 14:00,0.11947000000
12-12-2023 14:00,12-12-2023 15:00,0.11669000000
12-12-2023 15:00,12-12-2023 16:00,0.11554000000
12-12-2023 16:00,12-12-2023 17:00,0.10650000000
12-12-2023 17:00,12-12-2023 18:00,0.10413000000
12-12-2023 18:00,12-12-2023 19:00,0.10500000000
12-12-2023 19:00,12-12-2023 20:00,0.09360000000
12-12-2023 20:00,12-12-2023 21:00,0.09215000000
12-12-2023 21:00,12-12-2023 22:00,0.08814000000
12-12-2023 22:00,12-12-2023 23:00,0.08337000000
12-12-2023 23:00,13-12-2023 00:00,0.07750000000
13-12-2023 00:00,13-12-2023 01:00,0.07543000000
13-12-2023 01:00,13-12-2023 02:00,0.07301000000
13-12-2023 02:00,13-12-2023 03:00,0.07372000000
13-12-2023 03:00,13-12-2023 04:00,0.07146000000
13-12-2023 04:00,13-12-2023 05:00,0.07305000000
13-12-2023 05:00,13-12-2023 06:00,0.07557000000
13-12-2023 06:00,13-12-2023 07:00,0.08310000000
13-12-2023 07:00,13-12-2023 08:00,0.10219000000
13-12-2023 08:00,13-12-2023 09:00,0.09877000000
13-12-2023 09:00,13-12-2023 10:00,0.10351000000
13-12-2023 10:00,13-12-2023 11:00,0.10023000000
13-12-2023 11:00,13-12-2023 12:00,0.10000000000
13-12-2023 12:00,13-12-2023 13:00,0.09762000000
13-12-2023 13:00,13-12-2023 14:00,0.09734000000
13-12-2023 14:00,13-12-2023 15:00,0.10206000000
13-12-2023 15:00,13-12-2023 16:00,0.10283000000
13-12-2023 16:00,13-12-2023 17:00,0.10078000000
13-12-2023 17:00,13-12-2023 18:00,0.11004000000
13-12-2023 18:00,13-12-2023 19:00,0.10542000000
13-12-2023 19:00,13-12-2023 20:00,0.10204000000
13-12-2023 20:00,13-12-2023 21:00,0.09530000000
13-12-2023 21:00,13-12-2023 22:00,0.09088000000
13-12-2023 22:00,13-12-2023 23:00,0.09235000000
13-12-2023 23:00,14-12-2023 00:00,0.08425000000
14-12-2023 00:00,14-12-2023 01:00,0.07734000000
14-12-2023 01:00,14-12-2023 02:00,0.07613000000
14-12-2023 02:00,14-12-2023 03:00,0.07650000000
14-12-2023 03:00,14-12-2023 04:00,0.07753000000
14-12-2023 04:00,14-12-2023 05:00,0.07905000000
14-12-2023 05:00,14-12-2023 06:00,0.08192000000
14-12-2023 06:00,14-12-2023 07:00,0.09092000000
14-12-2023 07:00,14-12-2023 08:00,0.11634000000
14-12-2023 08:00,14-12-2023 09:00,0.12466000000
14-12-2023 09:00,14-12-2023 10:00,0.12170000000
14-12-2023 10:00,14-12-2023 11:00,0.11433000000
14-12-2023 11:00,14-12-2023 12:00,0.11932000000
14-12-2023 12:00,14-12-2023 13:00,0.09500000000
14-12-2023 13:00,14-12-2023 14:00,0.09990000000
14-12-2023 14:00,14-12-2023 15:00,0.10080000000
14-12-2023 15:00,14-12-2023 16:00,0.10810000000
14-12-2023 16:00,14-12-2023 17:00,0.12000000000
14-12-2023 17:00,14-12-2023 18:00,0.11990000000
14-12-2023 18:00,14-12-2023 19:00,0.12230000000
14-12-2023 19:00,14-12-2023 20:00,0.11382000000
14-12-2023 20:00,14-12-2023 21:00,0.09990000000
14-12-2023 21:00,14-12-2023 22:00,0.09620000000
14-12-2023 22:00,14-12-2023 23:00,0.09446000000
14-12-2023 23:00,15-12-2023 00:00,0.08557000000
15-12-2023 00:00,15-12-2023 01:00,0.08611000000
15-12-2023 01:00,15-12-2023 02:00,0.08293000000
15-12-2023 02:00,15-12-2023 03:00,0.08010000000
15-12-2023 03:00,15-12-2023 04:00,0.07655000000
15-12-2023 04:00,15-12-2023 05:00,0.07516000000
15-12-2023 05:00,15-12-2023 06:00,0.08041000000
15-12-2023 06:00,15-12-2023 07:00,0.09597000000
15-12-2023 07:00,15-12-2023 08:00,0.10692000000
15-12-2023 08:00,15-12-2023 09:00,0.12150000000
15-12-2023 09:00,15-12-2023 10:00,0.11747000000
15-12-2023 10:00,15-12-2023 11:00,0.10997000000
15-12-2023 11:00,15-12-2023 12:00,0.10277000000
15-12-2023 12:00,15-12-2023 13:00,0.09420000000
15-12-2023 13:00,15-12-2023 14:00,0.08837000000
15-12-2023 14:00,15-12-2023 15:00,0.08710000000
15-12-2023 15:00,15-12-2023 16:00,0.08986000000
15-12-2023 16:00,15-12-2023 17:00,0.09840000000
15-12-2023 17:00,15-12-2023 18:00,0.10440000000
15-12-2023 18:00,15-12-2023 19:00,0.10186000000
15-12-2023 19:00,15-12-2023 20:00,0.09330000000
15-12-2023 20:00,15-12-2023 21:00,0.09336000000
15-12-2023 21:00,15-12-2023 22:00,0.08836000000
15-12-2023 22:00,15-12-2023 23:00,0.08677000000
15-12-2023 23:00,16-12-2023 00:00,0.07671000000
16-12-2023 00:00,16-12-2023 01:00,0.06720000000
16-12-2023 01:00,16-12-2023 02:00,0.06321000000
16-12-2023 02:00,16-12-2023 03:00,0.06037000000
16-12-2023 03:00,16-12-2023 04:00,0.05800000000
16-12-2023 04:00,16-12-2023 05:00,0.05410000000
16-12-2023 05:00,16-12-2023 06:00,0.05564000000
16-12-2023 06:00,16-12-2023 07:00,0.05934000000
16-12-2023 07:00,16-12-2023 08:00,0.06510000000
16-12-2023 08:00,16-12-2023 09:00,0.07989000000
16-12-2023 09:00,16-12-2023 10:00,0.08769000000
16-12-2023 10:00,16-12-2023 11:00,0.08442000000
16-12-2023 11:00,16-12-2023 12:00,0.07700000000
16-12-2023 12:00,16-12-2023 13:00,0.07145000000
16-12-2023 13:00,16-12-2023 14:00,0.07062000000
16-12-2023 14:00,16-12-2023 15:00,0.07531000000
16-12-2023 15:00,16-12-2023 16:00,0.08038000000
16-12-2023 16:00,16-12-2023 17:00,0.08390000000
16-12-2023 17:00,16-12-2023 18:00,0.10678000000
16-12-2023 18:00,16-12-2023 19:00,0.11881000000
16-12-2023 19:00,16-12-2023 20:00,0.10300000000
16-12-2023 20:00,16-12-2023 21:00,0.09360000000
16-12-2023 21:00,16-12-2023 22:00,0.07500000000
16-12-2023 22:00,16-12-2023 23:00,0.06646000000
16-12-2023 23:00,17-12-2023 00:00,0.05600000000
17-12-2023 00:00,17-12-2023 01:00,0.04548000000
17-12-2023 01:00,17-12-2023 02:00,0.04311000000
17-12-2023 02:00,17-12-2023 03:00,0.04371000000
17-12-2023 03:00,17-12-2023 04:00,0.02869000000
17-12-2023 04:00,17-12-2023 05:00,0.02637000000
17-12-2023 05:00,17-12-2023 06:00,0.02987000000
17-12-2023 06:00,17-12-2023 07:00,0.03903000000
17-12-2023 07:00,17-12-2023 08:00,0.04553000000
17-12-2023 08:00,17-12-2023 09:00,0.05767000000
17-12-2023 09:00,17-12-2023 10:00,0.05917000000
17-12-2023 10:00,17-12-2023 11:00,0.05443000000
17-12-2023 11:00,17-12-2023 12:00,0.04900000000
17-12-2023 12:00,17-12-2023 13:00,0.04371000000
17-12-2023 13:00,17-12-2023 14:00,0.04003000000
17-12-2023 14:00,17-12-2023 15:00,0.04610000000
17-12-2023 15:00,17-12-2023 16:00,0.05718000000
17-12-2023 16:00,17-12-2023 17:00,0.06413000000
17-12-2023 17:00,17-12-2023 18:00,0.08900000000
17-12-2023 18:00,17-12-2023 19:00,0.09989000000
17-12-2023 19:00,17-12-2023 20:00,0.08600000000
17-12-2023 20:00,17-12-2023 21:00,0.06599000000
17-12-2023 21:00,17-12-2023 22:00,0.06489000000
17-12-2023 22:00,17-12-2023 23:00,0.06684000000
17-12-2023 23:00,18-12-2023 00:00,0.05163000000
18-12-2023 00:00,18-12-2023 01:00,0.05446000000
18-12-2023 01:00,18-12-2023 02:00,0.05202000000
18-12-2023 02:00,18-12-2023 03:00,0.05029000000
18-12-2023 03:00,18-12-2023 04:00,0.04920000000
18-12-2023 04:00,18-12-2023 05:00,0.05277000000
18-12-2023 05:00,18-12-2023 06:00,0.06258000000
18-12-2023 06:00,18-12-2023 07:00,0.08400000000
18-12-2023 07:00,18-12-2023 08:00,0.10339000000
18-12-2023 08:00,18-12-2023 09:00,0.10928000000
18-12-2023 09:00,18-12-2023 10:00,0.11028000000
18-12-2023 10:00,18-12-2023 11:00,0.08903000000
18-12-2023 11:00,18-12-2023 12:00,0.08117000000
18-12-2023 12:00,18-12-2023 13:00,0.07489000000
18-12-2023 13:00,18-12-2023 14:00,0.07495000000
18-12-2023 14:00,18-12-2023 15:00,0.08087000000
18-12-2023 15:00,18-12-2023 16:00,0.08800000000
18-12-2023 16:00,18-12-2023 17:00,0.09541000000
18-12-2023 17:00,18-12-2023 18:00,0.10433000000
18-12-2023 18:00,18-12-2023 19:00,0.10315000000
18-12-2023 19:00,18-12-2023 20:00,0.09630000000
18-12-2023 20:00,18-12-2023 21:00,0.08309000000
18-12-2023 21:00,18-12-2023 22:00,0.07489000000
18-12-2023 22:00,18-12-2023 23:00,0.06379000000
18-12-2023 23:00,19-12-2023 00:00,0.05794000000
19-12-2023 00:00,19-12-2023 01:00,0.05224000000
19-12-2023 01:00,19-12-2023 02:00,0.05089000000
19-12-2023 02:00,19-12-2023 03:00,0.04999000000
19-12-2023 03:00,19-12-2023 04:00,0.05627000000
19-12-2023 04:00,19-12-2023 05:00,0.05900000000
19-12-2023 05:00,19-12-2023 06:00,0.06505000000
19-12-2023 06:00,19-12-2023 07:00,0.08000000000
19-12-2023 07:00,19-12-2023 08:00,0.09374000000
19-12-2023 08:00,19-12-2023 09:00,0.10024000000
19-12-2023 09:00,19-12-2023 10:00,0.09428000000
19-12-2023 10:00,19-12-2023 11:00,0.08610000000
19-12-2023 11:00,19-12-2023 12:00,0.07971000000
19-12-2023 12:00,19-12-2023 13:00,0.07650000000
19-12-2023 13:00,19-12-2023 14:00,0.08000000000
19-12-2023 14:00,19-12-2023 15:00,0.08066000000
19-12-2023 15:00,19-12-2023 16:00,0.08482000000
19-12-2023 16:00,19-12-2023 17:00,0.08867000000
19-12-2023 17:00,19-12-2023 18:00,0.10181000000
19-12-2023 18:00,19-12-2023 19:00,0.09440000000
19-12-2023 19:00,19-12-2023 20:00,0.09110000000
19-12-2023 20:00,19-12-2023 21:00,0.08520000000
19-12-2023 21:00,19-12-2023 22:00,0.07964000000
19-12-2023 22:00,19-12-2023 23:00,0.07586000000
19-12-2023 23:00,20-12-2023 00:00,0.05984000000
20-12-2023 00:00,20-12-2023 01:00,0.05785000000
20-12-2023 01:00,20-12-2023 02:00,0.05048000000
20-12-2023 02:00,20-12-2023 03:00,0.04800000000
20-12-2023 03:00,20-12-2023 04:00,0.03998000000
20-12-2023 04:00,20-12-2023 05:00,0.03151000000
20-12-2023 05:00,20-12-2023 06:00,0.03997000000
20-12-2023 06:00,20-12-2023 07:00,0.04813000000
20-12-2023 07:00,20-12-2023 08:00,0.06953000000
20-12-2023 08:00,20-12-2023 09:00,0.09809000000
20-12-2023 09:00,20-12-2023 10:00,0.10710000000
20-12-2023 10:00,20-12-2023 11:00,0.09500000000
20-12-2023 11:00,20-12-2023 12:00,0.08800000000
20-12-2023 12:00,20-12-2023 13:00,0.06654000000
20-12-2023 13:00,20-12-2023 14:00,0.07010000000
20-12-2023 14:00,20-12-2023 15:00,0.08431000000
20-12-2023 15:00,20-12-2023 16:00,0.09066000000
20-12-2023 16:00,20-12-2023 17:00,0.09800000000
20-12-2023 17:00,20-12-2023 18:00,0.11091000000
20-12-2023 18:00,20-12-2023 19:00,0.10081000000
20-12-2023 19:00,20-12-2023 20:00,0.08906000000
20-12-2023 20:00,20-12-2023 21:00,0.07807000000
20-12-2023 21:00,20-12-2023 22:00,0.06687000000
20-12-2023 22:00,20-12-2023 23:00,0.06142000000
20-12-2023 23:00,21-12-2023 00:00,0.04893000000
21-12-2023 00:00,21-12-2023 01:00,0.02990000000
