Start datum,Eind datum,Verbruik in kW/h
03-12-2023 14:30,03-12-2023 14:45,0.000000
03-12-2023 14:45,03-12-2023 15:00,0.000000
03-12-2023 15:00,03-12-2023 15:15,0.000000
03-12-2023 15:15,03-12-2023 15:30,0.000000
03-12-2023 15:30,03-12-2023 15:45,0.000000
03-12-2023 15:45,03-12-2023 16:00,0.000000
03-12-2023 16:00,03-12-2023 16:15,0.000000
03-12-2023 16:15,03-12-2023 16:30,0.000000
03-12-2023 16:30,03-12-2023 16:45,0.000000
03-12-2023 16:45,03-12-2023 17:00,0.000000
03-12-2023 17:00,03-12-2023 17:15,0.000000
03-12-2023 17:15,03-12-2023 17:30,0.000000
03-12-2023 17:30,03-12-2023 17:45,0.000000
03-12-2023 17:45,03-12-2023 18:00,0.000000
03-12-2023 18:00,03-12-2023 18:15,0.000000
03-12-2023 18:15,03-12-2023 18:30,0.000000
03-12-2023 18:30,03-12-2023 18:45,0.000000
03-12-2023 18:45,03-12-2023 19:00,0.000000
03-12-2023 19:00,03-12-2023 19:15,0.000000
03-12-2023 19:15,03-12-2023 19:30,0.000000
03-12-2023 19:30,03-12-2023 19:45,0.000000
03-12-2023 19:45,03-12-2023 20:00,0.000000
03-12-2023 20:00,03-12-2023 20:15,0.000000
03-12-2023 20:15,03-12-2023 20:30,0.000000
03-12-2023 20:30,03-12-2023 20:45,0.000000
03-12-2023 20:45,03-12-2023 21:00,0.000000
03-12-2023 21:00,03-12-2023 21:15,0.000000
03-12-2023 21:15,03-12-2023 21:30,0.000000
03-12-2023 21:30,03-12-2023 21:45,0.000000
03-12-2023 21:45,03-12-2023 22:00,0.000000
03-12-2023 22:00,03-12-2023 22:15,0.000000
03-12-2023 22:15,03-12-2023 22:30,0.000000
03-12-2023 22:30,03-12-2023 22:45,0.000000
03-12-2023 22:45,03-12-2023 23:00,0.000000
03-12-2023 23:00,03-12-2023 23:15,0.000000
03-12-2023 23:15,03-12-2023 23:30,0.000000
03-12-2023 23:30,03-12-2023 23:45,0.000000
03-12-2023 23:45,04-12-2023 00:00,0.000000
04-12-2023 00:00,04-12-2023 00:15,0.000000
04-12-2023 00:15,04-12-2023 00:30,0.000000
04-12-2023 00:30,04-12-2023 00:45,0.000000
04-12-2023 00:45,04-12-2023 01:00,0.000000
04-12-2023 01:00,04-12-2023 01:15,0.000000
04-12-2023 01:15,04-12-2023 01:30,0.000000
04-12-2023 01:30,04-12-2023 01:45,0.000000
04-12-2023 01:45,04-12-2023 02:00,0.000000
04-12-2023 02:00,04-12-2023 02:15,0.000000
04-12-2023 02:15,04-12-2023 02:30,0.000000
04-12-2023 02:30,04-12-2023 02:45,0.000000
04-12-2023 02:45,04-12-2023 03:00,0.000000
